Date,open,high,low,close,volume,ret,gap_pct,intraday_range,drop_from_open,rise_from_open,open_to_close,close_in_range,next_open,overnight_ret,vol_20d_avg,vol_ratio,month,year,dow,is_march,week_of_month
2023-03-01,10.430000305175781,10.430000305175781,10.420000076293945,10.430000305175781,7800,0.0,0.0,0.09587946873667325,0.09587946873667325,0.0,0.0,1.0,10.399999618530273,-0.28763840621001974,4880.0,1.598360655737705,3,2023,2,True,1
2023-03-02,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,100,-0.0028763840621002235,-0.28763840621001974,0.0,0.0,0.0,0.0,,10.399999618530273,0.0,3630.0,0.027548209366391185,3,2023,3,True,1
2023-03-03,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,0,0.0,0.0,0.0,0.0,0.0,0.0,,10.399999618530273,0.0,3630.0,0.0,3,2023,4,True,1
2023-03-06,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,300,0.0,0.0,0.0,0.0,0.0,0.0,,10.399999618530273,0.0,3570.0,0.08403361344537816,3,2023,0,True,1
2023-03-07,10.399999618530273,10.399999618530273,10.399999618530273,10.399999618530273,0,0.0,0.0,0.0,0.0,0.0,0.0,,10.4399995803833,0.3846150319251659,3570.0,0.0,3,2023,1,True,1
2023-03-08,10.4399995803833,10.4399995803833,10.4399995803833,10.4399995803833,1100,0.003846150319251729,0.3846150319251659,0.0,0.0,0.0,0.0,,10.4399995803833,0.0,3625.0,0.30344827586206896,3,2023,2,True,2
2023-03-09,10.4399995803833,10.4399995803833,10.4399995803833,10.4399995803833,0,0.0,0.0,0.0,0.0,0.0,0.0,,10.449999809265137,0.09578763681778599,3625.0,0.0,3,2023,3,True,2
2023-03-10,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,100,0.0009578763681779012,0.09578763681778599,0.0,0.0,0.0,0.0,,10.430000305175781,-0.19138281774535143,3605.0,0.027739251040221916,3,2023,4,True,2
2023-03-13,10.430000305175781,10.449999809265137,10.430000305175781,10.449999809265137,1100,0.0,-0.19138281774535143,0.1917497939039457,0.0,0.1917497939039457,0.1917497939039457,1.0,10.449999809265137,0.0,3405.0,0.32305433186490456,3,2023,0,True,2
2023-03-14,10.449999809265137,10.470000267028809,10.449999809265137,10.460000038146973,4600,0.0009569597190777213,0.0,0.19139194381553146,0.0,0.19139194381553146,0.09569597190776573,0.5,10.460000038146973,0.0,3635.0,1.265474552957359,3,2023,1,True,2
2023-03-15,10.460000038146973,10.460000038146973,10.460000038146973,10.460000038146973,0,0.0,0.0,0.0,0.0,0.0,0.0,,10.420000076293945,-0.38240881173183516,3635.0,0.0,3,2023,2,True,3
2023-03-16,10.420000076293945,10.420000076293945,10.420000076293945,10.420000076293945,400,-0.0038240881173183805,-0.38240881173183516,0.0,0.0,0.0,0.0,,10.420000076293945,0.0,3640.0,0.10989010989010989,3,2023,3,True,3
2023-03-17,10.420000076293945,10.420000076293945,10.420000076293945,10.420000076293945,0,0.0,0.0,0.0,0.0,0.0,0.0,,10.420000076293945,0.0,3495.0,0.0,3,2023,4,True,3
2023-03-20,10.420000076293945,10.420000076293945,10.420000076293945,10.420000076293945,1000,0.0,0.0,0.0,0.0,0.0,0.0,,10.420000076293945,0.0,3545.0,0.2820874471086037,3,2023,0,True,3
2023-03-21,10.420000076293945,10.420000076293945,10.420000076293945,10.420000076293945,0,0.0,0.0,0.0,0.0,0.0,0.0,,10.420000076293945,0.0,1275.0,0.0,3,2023,1,True,3
