Date,open,high,low,close,volume,ret,gap_pct,intraday_range,drop_from_open,rise_from_open,open_to_close,close_in_range,next_open,overnight_ret,vol_20d_avg,vol_ratio,month,year,dow,is_march,week_of_month
2024-03-01,1.9600000381469727,2.2799999713897705,1.9199999570846558,2.200000047683716,63405,0.1458333837799739,2.083337601895229,18.367347311149377,2.0408204226431472,16.32652688850623,12.244898207432918,0.7777779985357126,2.299999952316284,4.545450112051311,95437.25,0.6643632334334864,3,2024,4,True,1
2024-03-04,2.299999952316284,2.4000000953674316,1.9800000190734863,2.0,54190,-0.09090911061310525,4.545450112051311,18.260873260930794,13.913040864219683,4.347832396711109,-13.043476458082539,0.04761899355588758,2.0,0.0,74826.5,0.7242086693885188,3,2024,0,True,1
2024-03-05,2.0,2.0999999046325684,1.8799999952316284,2.0,62795,0.0,0.0,10.999995470046997,6.000000238418579,4.999995231628418,0.0,0.5454547917548319,1.940000057220459,-2.999997138977051,59036.25,1.063668508755214,3,2024,1,True,1
2024-03-06,1.940000057220459,2.359999895095825,1.8799999952316284,2.240000009536743,322520,0.12000000476837158,-2.999997138977051,24.74226214982272,3.0927866092331895,21.64947554058953,15.46391461174027,0.7500001862645538,2.299999952316284,2.6785688626827135,61640.25,5.232295456296819,3,2024,2,True,1
2024-03-07,2.299999952316284,2.299999952316284,1.9800000190734863,2.0199999809265137,80780,-0.09821429806856474,2.6785688626827135,13.913040864219683,13.913040864219683,0.0,-12.173912051945397,0.12499990686772311,2.200000047683716,8.910894478060415,60751.75,1.3296736308007588,3,2024,3,True,1
2024-03-08,2.200000047683716,2.440000057220459,2.0199999809265137,2.380000114440918,212145,0.17821788956120832,8.910894478060415,19.090912145031318,8.181821038900267,10.909091106131052,8.181821038900267,0.8571430193323373,2.5199999809265137,5.882347048478309,68804.5,3.0833012375644033,3,2024,4,True,2
2024-03-11,2.5199999809265137,2.9800000190734863,2.299999952316284,2.5799999237060547,303955,0.08403352926397578,5.882347048478309,26.98412983746097,8.730159931562515,18.253969905898458,2.3809501283202863,0.4117646233845828,2.4200000762939453,-6.201544656725289,82195.0,3.6979743293387677,3,2024,0,True,2
2024-03-12,2.4200000762939453,2.5999999046325684,2.119999885559082,2.4200000762939453,105230,-0.062015446567252885,-6.201544656725289,19.834710906644744,12.396701705658284,7.438009200986462,0.0,0.6250003725290151,2.4000000953674316,-0.8264454667762735,84384.0,1.2470373530527115,3,2024,1,True,2
2024-03-13,2.4000000953674316,2.4800000190734863,2.140000104904175,2.2200000286102295,49540,-0.08264464519769821,-0.8264454667762735,14.16666252745539,10.833332505491079,3.3333300219643105,-7.500002483526767,0.2352939526514607,2.259999990463257,1.8018000602490185,85712.75,0.5779770220883124,3,2024,2,True,2
2024-03-14,2.259999990463257,2.299999952316284,2.1600000858306885,2.259999990463257,31740,0.018018000602490147,1.8018000602490185,6.194684383910038,4.424774559935741,1.7699098239742965,0.0,0.7142857142857143,2.259999990463257,0.0,85713.5,0.37030339444778243,3,2024,3,True,2
2024-03-15,2.259999990463257,2.259999990463257,2.0399999618530273,2.200000047683716,31305,-0.026548647359614486,0.0,9.734514581353325,9.734514581353325,0.0,-2.6548647359614446,0.7272730228329108,2.200000047683716,0.0,83739.5,0.37383791400712924,3,2024,4,True,3
2024-03-18,2.200000047683716,2.299999952316284,2.119999885559082,2.200000047683716,35270,0.0,0.0,8.181821038900267,3.6363709268489552,4.545450112051311,0.0,0.44444518030398356,2.200000047683716,0.0,83821.25,0.4207763544447261,3,2024,0,True,3
2024-03-19,2.200000047683716,2.299999952316284,2.059999942779541,2.1600000858306885,64160,-0.018181800448205276,0.0,10.909091106131052,6.363640994079741,4.545450112051311,-1.8181800448205245,0.4166672461562456,2.1600000858306885,0.0,85075.25,0.7541558796477237,3,2024,1,True,3
2024-03-20,2.1600000858306885,2.200000047683716,2.059999942779541,2.0999999046325684,45705,-0.027777860562003376,0.0,6.481486080605124,4.629636068402729,1.851850012202395,-2.7777860562003345,0.28571379914612155,2.0999999046325684,0.0,85700.5,0.533310774149509,3,2024,2,True,3
2024-03-21,2.0999999046325684,2.180000066757202,1.9600000381469727,2.0199999809265137,47945,-0.03809520349480777,0.0,10.476192314338336,6.666660611591367,3.8095317027469684,-3.809520349480781,0.27272697716708916,2.0,-0.9900980750178164,85111.25,0.5633215350497144,3,2024,3,True,3
2024-03-22,2.0,2.0799999237060547,1.8200000524520874,1.9600000381469727,77225,-0.029702942250534492,-0.9900980750178164,12.999993562698364,8.99999737739563,3.9999961853027344,-1.9999980926513672,0.5384617500757667,2.059999942779541,5.10203585134164,87450.75,0.8830684699673816,3,2024,4,True,4
