Date,ticker,net_ret,intraday_drop_pct,open,low,close,next_open
2023-04-18,TPET,-0.10191632991181328,28.30188679245283,53.0,38.0,45.400001525878906,41.0
2023-04-19,TPET,0.030000038146972653,8.292686648485137,41.0,37.599998474121094,40.0,41.400001525878906
2023-04-20,TPET,0.004008957149438354,14.879226136166995,41.400001525878906,35.2400016784668,44.400001525878906,44.79999923706055
2023-04-21,TPET,-0.08833333333333333,5.803568121425903,44.79999923706055,42.20000076293945,48.0,44.0
2023-04-24,TPET,0.09954541986638848,6.8181818181818175,44.0,41.0,44.0,48.599998474121094
2023-04-25,TPET,0.025302980261088775,9.876541950132957,48.599998474121094,43.79999923706055,46.20000076293945,47.599998474121094
2023-04-26,TPET,0.152142820812407,11.764703053857597,47.599998474121094,42.0,42.0,48.599998474121094
2023-04-27,TPET,0.02865388406804466,15.226333217113266,48.599998474121094,41.20000076293945,41.599998474121094,43.0
2023-05-01,TPET,-0.009651180533475655,6.8181818181818175,44.0,41.0,43.0,42.79999923706055
2023-05-02,TPET,0.004523845854259673,11.682243198898231,42.79999923706055,37.79999923706055,42.0,42.400001525878906
2023-05-03,TPET,-0.030000000000000002,7.075471443483193,42.400001525878906,39.400001525878906,40.0,39.0
2023-05-11,TPET,0.06021743412053967,8.000001907348633,40.0,36.79999923706055,36.79999923706055,39.20000076293945
2023-05-15,TPET,0.057801893195483324,18.181814863247205,41.79999923706055,34.20000076293945,41.400001525878906,44.0
2023-05-16,TPET,-0.005,13.636363636363635,44.0,38.0,39.0,39.0
2023-05-17,TPET,0.012142813546316963,11.794867882361778,39.0,34.400001525878906,35.0,35.599998474121094
2023-05-18,TPET,-0.005,8.988755857864374,35.599998474121094,32.400001525878906,33.79999923706055,33.79999923706055
2023-05-19,TPET,-0.005,8.87573984531515,33.79999923706055,30.799999237060547,31.799999237060547,31.799999237060547
2023-05-22,TPET,-0.005,11.320750190225041,31.799999237060547,28.200000762939453,28.799999237060547,28.799999237060547
2023-05-25,TPET,-0.02435485101515247,7.4074117680579405,32.400001525878906,30.0,31.0,30.399999618530273
2023-05-30,TPET,-0.025979034037302805,6.400000254313151,30.0,28.079999923706055,28.600000381469727,28.0
2023-06-02,TPET,-0.011211190752899888,5.517242694723195,29.0,27.399999618530273,28.979999542236328,28.799999237060547
2023-06-07,TPET,0.016276541059871672,6.666666666666667,30.0,28.0,28.200000762939453,28.799999237060547
2023-06-09,TPET,-0.026126774279188428,6.666666666666667,30.0,28.0,28.399999618530273,27.799999237060547
2023-06-14,TPET,-0.012518825566588301,7.913665165349978,27.799999237060547,25.600000381469727,26.600000381469727,26.399999618530273
2023-06-15,TPET,-0.045,11.742425857058812,26.399999618530273,23.299999237060547,25.0,24.0
2023-06-16,TPET,0.046236743758150886,6.66666825612386,24.0,22.399999618530273,22.639999389648438,23.799999237060547
2023-06-20,TPET,0.034603921130948165,15.966383860816757,23.799999237060547,20.0,20.200000762939453,21.0
2023-06-21,TPET,0.010384576259515225,10.476194109235491,21.0,18.799999237060547,19.5,19.799999237060547
2023-06-22,TPET,-0.05261900436850976,23.030301220452714,19.799999237060547,15.239999771118164,16.799999237060547,16.0
2023-06-28,TPET,0.042619035261751495,7.826083639393682,23.0,21.200000762939453,29.399999618530273,30.799999237060547
2023-06-30,TPET,-0.005,11.731840628764417,35.79999923706055,31.600000381469727,33.400001525878906,33.400001525878906
2023-07-03,TPET,-0.005,13.173656661272029,33.400001525878906,29.0,30.399999618530273,30.399999618530273
2023-07-05,TPET,-0.03316898759880855,9.342105882319725,30.399999618530273,27.559999465942383,28.399999618530273,27.600000381469727
2023-07-10,TPET,-0.01807188279554725,5.063292285299998,31.600000381469727,30.0,30.600000381469727,30.200000762939453
2023-07-11,TPET,-0.013264494075791097,20.52980333215061,30.200000762939453,24.0,24.200000762939453,24.0
2023-07-12,TPET,0.013119071215032078,10.833334922790527,24.0,21.399999618530273,23.18000030517578,23.600000381469727
2023-07-13,TPET,0.011806787340397789,5.932201677545423,23.600000381469727,22.200000762939453,23.799999237060547,24.200000762939453
2023-07-19,TPET,0.004008957149438354,7.6271233699746315,23.600000381469727,21.799999237060547,22.200000762939453,22.399999618530273
2023-07-20,TPET,0.01847417924457171,8.928571580624096,22.399999618530273,20.399999618530273,21.299999237060547,21.799999237060547
2023-07-21,TPET,0.005204023045831349,13.76146837152143,21.799999237060547,18.799999237060547,19.600000381469727,19.799999237060547
2023-07-24,TPET,-0.005,8.08080068572076,19.799999237060547,18.200000762939453,18.200000762939453,18.200000762939453
2023-07-25,TPET,-0.005,8.791210518670951,18.200000762939453,16.600000381469727,17.600000381469727,17.600000381469727
2023-07-26,TPET,0.029523806550335045,6.818186005284872,17.600000381469727,16.399999618530273,16.799999237060547,17.3799991607666
2023-07-31,TPET,0.001211203670828596,5.992951999589393,17.020000457763672,16.0,16.100000381469727,16.200000762939453
2023-08-01,TPET,0.031249995231628417,7.4074117680579405,16.200000762939453,15.0,16.0,16.579999923706055
2023-08-02,TPET,0.019675332717779895,9.529553262825855,16.579999923706055,15.0,15.399999618530273,15.779999732971191
2023-08-03,TPET,0.038419291265986505,7.477816042264816,15.779999732971191,14.600000381469727,14.739999771118164,15.380000114440918
2023-08-04,TPET,-0.0064065019260263955,8.97269248486662,15.380000114440918,14.0,14.220000267028809,14.199999809265137
2023-08-07,TPET,0.0022992980191209617,8.309854699656723,14.199999809265137,13.020000457763672,13.699999809265137,13.800000190734863
2023-08-08,TPET,-0.0019604891856519844,13.04347946272754,13.800000190734863,12.0,13.15999984741211,13.199999809265137
2023-08-10,TPET,-0.024933535870312967,9.509200726576966,13.039999961853027,11.800000190734863,12.039999961853027,11.800000190734863
