ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
EVAX,26399.1,4.36,4.935,4.735,5.605,5.405,10.0,9.8
FATN,350153.8,2.11,2.943,2.743,2.788,2.588,4.51,4.31
FCHL,3578024.85,0.4709,2.48,2.28,2.133,1.933,3.046,2.846
FCUV,2721517.05,1.97,2.111,1.911,1.611,1.411,1.877,1.677
FEED,8005855.4,1.5801,1.947,1.747,1.379,1.179,1.358,1.158
FFAI,38509596.5,0.307,2.017,1.817,1.479,1.279,1.582,1.382
FGL,193205.4,1.9421,3.465,3.265,3.526,3.326,6.161,5.961
FLYX,646903.3,3.02,2.44,2.24,2.076,1.876,2.918,2.718
FMFC,367945.75,0.42,4.766,4.566,5.365,5.165,10.0,9.8
FNKO,611281.7,4.3881,2.328,2.128,1.918,1.718,2.564,2.364
FNUC,277581.35,2.67,2.957,2.757,2.808,2.608,4.554,4.354
FRMM,2285103.05,3.7368,2.014,1.814,1.474,1.274,1.571,1.371
FSLY,13178717.3,24.65,1.702,1.502,1.033,0.833,0.585,0.385
FUSE,6717728.25,1.775,1.956,1.756,1.391,1.191,1.387,1.187
GAME,17138267.5,0.3967,2.058,1.858,1.537,1.337,1.712,1.512
GBR,1347229.0,0.7598,2.745,2.545,2.508,2.308,3.883,3.683
GCTK,2584169.2,0.7915,2.422,2.222,2.051,1.851,2.861,2.661
GFAI,227327.4,0.5932,4.685,4.485,5.251,5.051,10.0,9.8
GLMD,9151255.4,0.7525,2.055,1.855,1.532,1.332,1.703,1.503
GLND,2103004.882352941,6.02,1.985,1.785,1.433,1.233,1.481,1.281
GME,5987786.95,24.28,1.732,1.532,1.075,0.875,0.681,0.481
GMEX,2995345.05,0.475,2.577,2.377,2.271,2.071,3.353,3.153
GNLN,372873.9,4.7001,2.471,2.271,2.12,1.92,3.017,2.817
GOAI,63725.7,4.25,3.788,3.588,3.983,3.783,7.183,6.983
GPRO,7564371.7,1.23,2.003,1.803,1.459,1.259,1.538,1.338
