ticker,entry_ts,outcome,pnl_pct,dilution_flag,vol_spike,price_drop
KNRX,2026-02-23 16:25:00+00:00,loss,-0.124,False,0.0,0.0
NCI,2026-04-15 17:30:00+00:00,win,1.4369,False,0.0,0.0
CIIT,2026-04-15 16:20:00+00:00,loss,-0.124,False,0.0,0.0
ASTC,2026-04-15 15:35:00+00:00,loss,-0.124,False,0.0,0.0
ASTC,2026-04-15 17:25:00+00:00,win,1.5932,False,0.0,0.0
FCHL,2026-04-15 12:20:00+00:00,win,0.5986,False,0.0,0.0
FCHL,2026-04-15 12:40:00+00:00,loss,-0.1,False,0.0,0.0
SNAL,2026-04-15 11:05:00+00:00,loss,-0.124,False,0.0,0.0
SNAL,2026-04-15 11:50:00+00:00,loss,-0.124,False,0.0,0.0
CTNT,2026-04-16 16:40:00+00:00,win,6.0227,False,0.0,0.0
CTNT,2026-04-16 18:40:00+00:00,loss,-0.124,False,0.0,0.0
AGAE,2026-04-16 17:45:00+00:00,win,1.429,False,0.0,0.0
AGAE,2026-04-16 19:45:00+00:00,loss,-0.124,False,0.0,0.0
NCI,2026-04-16 09:15:00+00:00,loss,-0.124,False,0.0,0.0
